JobNumber,Customer,State,City,,,
4587873,Charter,NC,MONROE,,,
4543296,Charter,CA,SIMI VALLEY,,,
4567581,Charter,NC,BURLINGTON,,,
4632138,Charter,TX,DALLAS,,,
4657152,Charter,NC,EDEN,,,
1334600,Charter,NC,CHARLOTTE,,,
4637851,Charter,TX,GRAND PRAIRIE,,,
4634469,Charter,NC,MOORESVILLE,,,
4641282,Charter,TX,KELLER,,,
1410932,Charter,SC,FORT MILL,,,
2398322,Charter,NC,MONROE,,,
4299965,Charter,NC,FLETCHER,,,
2656983,Charter,NC,GASTONIA,,,
2057640,Charter,NC,CHARLOTTE,,,
4593587,Charter,NC,GASTONIA,,,
4637299,Charter,NC,CONCORD,,,
4645249,Charter,NC,GRAHAM,,,
4630913,Charter,VA,SUFFOLK,,,
4559319,Charter,NC,BURLINGTON,,,
1576375,Charter,NC,CHARLOTTE,,,
4505389,Charter,TX,DEL VALLE,,,
4574203,Charter,TX,GRAPEVINE,,,
3913651,Charter,TX,FLOWER MOUND,,,
4625037,Charter,TX,RIO GRANDE CITY,,,
3237458,Charter,TX,MISSION,,,
4292127,Charter,TX,CARROLLTON,,,
4575030,Charter,TX,MERCEDES,,,
4343930,Charter,TX,CARROLLTON,,,
4285116,Charter,TX,LEWISVILLE,,,
4627389,Charter,TX,BASTROP,,,
4650153,Charter,TX,AUSTIN,,,
4671885,Charter,TX,AUSTIN,,,
4669656,Charter,TX,VIDOR,,,
4683259,Charter,TX,WHITE SETTLEMENT,,,
4649465,Charter,TX,ARLINGTON,,,
4643042,Charter,TX,MESQUITE,,,
4583312,Charter,TX,DENTON,,,
4622753,Charter,TX,IRVING,,,
4608557,Charter,TX,DALLAS,,,
4656274,Charter,CA,PASADENA,,,
4572327,Charter,TX,AUSTIN,,,
4657405,Charter,TX,PLANO,,,
4691269,Charter,OH,CINCINNATI,,,
4645425,Charter,OH,SAINT PARIS,,,
4651422,Charter,OH,REYNOLDSBURG,,,
4704261,Charter,KY,JEFFERSONVILLE,,,
4608030,Charter,OH,PATASKALA,,,
4613117,Charter,TX,RED OAK,,,
4718847,Charter,TN,BLOUNTVILLE,,,
4709712,Charter,TX,AUSTIN,,,
4585107,Charter,TX,HIDALGO,,,
4704244,Charter,TX,WACO,,,
3694740,Charter,TX,CIBOLO,,,
4162029,Charter,TX,LAGO VISTA,,,
4578541,Charter,TX,DONNA,,,
3881619,Charter,TX,DENTON,,,
4692845,Charter,TN,HENRY,,,
3836213,Charter,GA,MORELAND,,,
4038217,Charter,TX,CARROLLTON,,,
4349337,Charter,TX,DALLAS,,,
4629092,Charter,TX,IRVING,,,
3760483,Charter,TX,DENTON,,,
4661790,Charter,MI,MIO,,,
4674023,Charter,WI,PALMYRA,,,
4701945,Charter,KS,OVERLAND PARK,,,
4663167,Charter,NY,CENTRAL SQUARE,,,
4441511,Charter,MO,O FALLON,,,
4653345,Charter,KS,OVERLAND PARK,,,
4661834,Charter,MI,DRYDEN,,,
3951848,Charter,OH,MINSTER,,,
4552988,Charter,WI,BERLIN,,,
4546135,Charter,MI,PETOSKEY,,,
4611799,Charter,NY,AFTON,,,
4716264,Charter,NY,APALACHIN,,,
4636201,Charter,WI,PALMYRA,,,
4181768,Charter,NY,LOWVILLE,,,
3955047,Charter,OH,KETTERING,,,
4519727,Charter,NY,CARTHAGE,,,
3725139,Charter,NY,ADAMS CENTER,,,
4310416,Charter,TN,COLUMBIA,,,
4573237,Charter,OH,BEAVERCREEK,,,
